Theta;Atheta;atheta;Btheta;btheta
1,875;0,124;0,113;0,00109;0,00105
5,625;0,105;0,111;0,0011;0,000722
9,375;0,0853;0,107;0,000948;0,000866
13,125;0,0677;0,104;0,000781;0,00011
16,875;0,0532;0,103;0,000624;0,000128
20,625;0,0414;0,103;0,000493;0,000146
24,375;0,0323;0,104;0,000391;0,000167
28,125;0,0254;0,106;0,000315;0,000189
31,875;0,0188;0,105;0,000247;0,000188
35,625;0,0145;0,108;0,000201;0,0002
39,375;0,012;0,116;0,000173;0,000235
43,125;0,0101;0,125;0,00015;0,000266
46,875;0,00842;0,135;0,000126;0,00027
50,625;0,00695;0,145;0,000107;0,000268
54,375;0,00569;0,154;0,0000915;0,000264
58,125;0,00482;0,168;0,0000787;0,000257
61,875;0,00422;0,187;0,000069;0,000255
65,625;0,00365;0,205;0,0000604;0,000247
69,375;0,00324;0,228;0,0000537;0,000244
73,125;0,0026;0,239;0,0000477;0,000232
76,875;0,00175;0,231;0,0000424;0,000218
80,625;0,0014;0,243;0,0000385;0,000214
84,375;0,00114;0,259;0,0000349;0,000202
88,125;0,000866;0,269;0,0000322;0,0002
91,875;0,00069;0,287;0,00003;0,0002
95,625;0,000623;0,319;0,0000279;0,000194
99,375;0,000553;0,359;0,0000264;0,000196
103,125;0,000541;0,425;0,0000249;0,000198
106,875;0,000702;0,557;0,0000235;0,000193
110,625;0;0;0,0000457;0,000713
114,375;0;0;0,0000377;0,000587
118,125;0;0;0,0000314;0,000477
121,875;0;0;0,0000258;0,000364
125,625;0;0;0,0000227;0,000304
129,375;0;0;0,0000213;0,00029
133,125;0;0;0,0000202;0,00028
136,875;0;0;0,0000192;0,000266
140,625;0;0;0,0000207;0,000266
144,375;0;0;0,0000225;0,000266
148,125;0;0;0,0000164;0,000189
151,875;0;0;0,0000159;0,000174
155,625;0;0;0,0000153;0,000155
159,375;0;0;0,0000151;0,000149
163,125;0;0;0,0000147;0,000135
166,875;0;0;0,0000142;0,000113
170,625;0;0;0,0000142;0,000116
174,375;0;0;0,0000138;0,000102
178,125;0;0;0,0000141;0,000192
181,875;0;0;0,0000141;0,000192
185,625;0;0;0,0000138;0,000102
189,375;0;0;0,0000142;0,000116
193,125;0;0;0,0000142;0,000113
196,875;0;0;0,0000147;0,000135
200,625;0;0;0,0000151;0,000149
204,375;0;0;0,0000153;0,000155
208,125;0;0;0,0000159;0,000174
211,875;0;0;0,0000164;0,000189
215,625;0;0;0,0000225;0,000266
219,375;0;0;0,0000207;0,000266
223,125;0;0;0,0000192;0,000266
226,875;0;0;0,0000202;0,00028
230,625;0;0;0,0000213;0,00029
234,375;0;0;0,0000227;0,000304
238,125;0;0;0,0000258;0,000364
241,875;0;0;0,0000314;0,000477
245,625;0;0;0,0000377;0,000587
249,375;0;0;0,0000457;0,000713
253,125;0,000702;0,557;0,0000235;0,000193
256,875;0,000541;0,425;0,0000249;0,000198
260,625;0,000553;0,359;0,0000264;0,000196
264,375;0,000623;0,319;0,0000279;0,000194
268,125;0,00069;0,287;0,00003;0,0002
271,875;0,000866;0,269;0,0000322;0,0002
275,625;0,00114;0,259;0,0000349;0,000202
279,375;0,0014;0,243;0,0000385;0,000214
283,125;0,00175;0,231;0,0000424;0,000218
286,875;0,0026;0,239;0,0000477;0,000232
290,625;0,00324;0,228;0,0000537;0,000244
294,375;0,00365;0,205;0,0000604;0,000247
298,125;0,00422;0,187;0,000069;0,000255
301,875;0,00482;0,168;0,0000787;0,000257
305,625;0,00569;0,154;0,0000915;0,000264
309,375;0,00695;0,145;0,000107;0,000268
313,125;0,00842;0,135;0,000126;0,00027
316,875;0,0101;0,125;0,00015;0,000266
320,625;0,012;0,116;0,000173;0,000235
324,375;0,0145;0,108;0,000201;0,0002
328,125;0,0188;0,105;0,000247;0,000188
331,875;0,0254;0,106;0,000315;0,000189
335,625;0,0323;0,104;0,000391;0,000167
339,375;0,0414;0,103;0,000493;0,000146
343,125;0,0532;0,103;0,000624;0,000128
346,875;0,0677;0,104;0,000781;0,00011
350,625;0,0853;0,107;0,000948;0,000866
354,375;0,105;0,111;0,0011;0,000722
358,125;0,124;0,113;0,00109;0,00105
